Ano;Modalidade;Semestre;Centro;Curso;Turno;Ingressantes;Matriculados;Concluintes;Desligados;Trancados
2016;EAD;1;CAC;Letras - Língua Espanhola - EAD;EAD;0;127;6;20;5
2016;EAD;1;CAC;Letras - Língua Portuguesa - EAD;EAD;0;149;11;35;3
2016;EAD;1;CCEN;Matemática - EAD;EAD;0;121;12;17;1
2016;EAD;1;CCSA;Ciências Contábeis - EAD;EAD;0;86;0;18;1
2016;EAD;1;CFCH;Geografia - EAD;EAD;0;41;0;2;2
2016;EAD;2;CAC;Letras - Língua Espanhola - EAD;EAD;0;100;1;17;9
2016;EAD;2;CAC;Letras - Língua Portuguesa - EAD;EAD;0;134;0;0;7
2016;EAD;2;CCEN;Matemática - EAD;EAD;0;99;8;6;5
2016;EAD;2;CCSA;Ciências Contábeis - EAD;EAD;1;57;0;25;6
2016;EAD;2;CFCH;Geografia - EAD;EAD;0;40;0;1;2
2016;Presencial;1;CAA;Administração - CAA;Matutino;40;359;4;19;5
2016;Presencial;1;CAA;Administração - CAA;Noturno;39;364;5;17;11
2016;Presencial;1;CAA;Ciências Econômicas - CAA;Noturno;59;458;8;31;11
2016;Presencial;1;CAA;Comunicação Social - CAA;Integral;0;26;0;14;0
2016;Presencial;1;CAA;Design - CAA;Integral;40;261;0;13;6
2016;Presencial;1;CAA;Design - CAA;Noturno;40;453;5;38;29
2016;Presencial;1;CAA;Educação Intercultural;Integral;0;151;0;1;0
2016;Presencial;1;CAA;Engenharia Civil - CAA;Integral;40;452;11;13;6
2016;Presencial;1;CAA;Engenharia de Produção - CAA;Integral;40;347;2;25;6
2016;Presencial;1;CAA;Física - CAA;Noturno;40;259;1;24;5
2016;Presencial;1;CAA;Matemática - CAA;Noturno;40;343;0;27;9
2016;Presencial;1;CAA;Medicina - CAA;Integral;79;227;0;1;2
2016;Presencial;1;CAA;Pedagogia - CAA;Noturno;40;332;2;20;3
2016;Presencial;1;CAA;Química - CAA;Noturno;38;296;2;12;2
2016;Presencial;1;CAC;Arquitetura e Urbanismo;Integral;50;623;42;12;4
2016;Presencial;1;CAC;Artes Visuais - Licenciatura;Integral;35;147;5;5;6
2016;Presencial;1;CAC;Biblioteconomia;Matutino;0;30;12;1;2
2016;Presencial;1;CAC;Biblioteconomia;vespertino;55;223;12;2;3
2016;Presencial;1;CAC;Cinema e Audiovisual;vespertino;25;187;13;9;9
2016;Presencial;1;CAC;Dança;Noturno;30;138;0;5;7
2016;Presencial;1;CAC;Design;Integral;36;360;41;8;7
2016;Presencial;1;CAC;Expressão Gráfica;Integral;30;83;2;10;6
