Ano;Modalidade;Centro;Cód;Curso;Processo_Seletivo;Turno;Vagas_1sem;Vagas_2sem;Inscritos
2016;Presencial;CAA;101082;Administração - CAA;SISU;Matutino;40;40;1244
2016;Presencial;CAA;101082;Administração - CAA;SISU;Noturno;40;40;2154
2016;Presencial;CAA;101086;Ciências Econômicas - CAA;SISU;Noturno;60;60;3022
2016;Presencial;CAA;101092;Pedagogia - CAA;SISU;Noturno;40;40;3326
2016;Presencial;CAA;101127;Design - CAA;SISU;Integral;40;40;1134
2016;Presencial;CAA;101127;Design - CAA;SISU;Noturno;40;40;2048
2016;Presencial;CAA;101129;Engenharia Civil - CAA;SISU;Integral;40;40;1873
2016;Presencial;CAA;118092;Engenharia de Produção - CAA;SISU;Integral;40;40;1290
2016;Presencial;CAA;118096;Física - CAA;SISU;Noturno;40;40;1011
2016;Presencial;CAA;118098;Química - CAA;SISU;Noturno;40;40;1310
2016;Presencial;CAA;118100;Matemática - CAA;SISU;Noturno;40;40;1322
2016;Presencial;CAA;1189778;Medicina - CAA;SISU;Integral;80;0;1934
2016;Presencial;CAA;1321439;Comunicação Social - CAA;SISU;Integral;0;40;1172
2016;Presencial;CAC;13604;Música;Vestibular;Integral;30;0;86
2016;Presencial;CAC;13604;Música;Vestibular;Noturno;0;30;86
2016;Presencial;CAC;13609;Biblioteconomia;SISU;Vespertino;55;0;589
2016;Presencial;CAC;13610;Arquitetura e Urbanismo;SISU;Integral;50;50;3208
2016;Presencial;CAC;23910;Artes Visuais - Licenciatura;SISU;Integral;35;0;428
2016;Presencial;CAC;23912;Rádio, TV e Internet;SISU;Matutino;0;30;673
2016;Presencial;CAC;29483;Jornalismo;SISU;Vespertino;50;0;1518
2016;Presencial;CAC;33784;Publicidade e Propaganda;SISU;Matutino;0;45;1628
2016;Presencial;CAC;35520;Teatro;SISU;Integral;35;0;829
2016;Presencial;CAC;44947;Letras - Português;SISU;Noturno;30;0;673
2016;Presencial;CAC;44947;Letras - Português;SISU;Vespertino;0;60;887
2016;Presencial;CAC;44950;Letras - Francês;SISU;Vespertino;15;0;126
2016;Presencial;CAC;44977;Letras - Inglês;SISU;Matutino;0;30;829
2016;Presencial;CAC;44978;Letras - Espanhol;SISU;Matutino;0;30;472
2016;Presencial;CAC;44978;Letras - Espanhol;SISU;Noturno;30;0;410
2016;Presencial;CAC;53750;Música - Canto;Vestibular;Matutino;4;0;5
2016;Presencial;CAC;53760;Música - Instrumento;Vestibular;Matutino;18;0;15
2016;Presencial;CAC;80088;Design;SISU;Integral;35;35;1659
2016;Presencial;CAC;117386;Gestão da Informação;SISU;Noturno;55;0;386
2016;Presencial;CAC;117392;Dança;Vestibular;Noturno;30;0;88
2016;Presencial;CAC;117394;Cinema e Audiovisual;SISU;Vespertino;25;25;1061
2016;Presencial;CAC;313603;Letras - Bacharelado;SISU;Vespertino;30;0;395
2016;Presencial;CAC;1204606;Expressão Gráfica;SISU;Integral;30;0;502
2016;Presencial;CAC;1313313;Letras - Libras;Vestibular;Matutino;0;30;114
2016;Presencial;CAV;101140;Ciências Biológicas - CAV;SISU;Noturno;45;45;1265
2016;Presencial;CAV;101149;Nutrição - CAV;SISU;Matutino;30;30;2354
2016;Presencial;CAV;101153;Enfermagem - CAV;SISU;Integral;30;30;1776
2016;Presencial;CAV;1155122;Educação Física - Licenciatura - CAV;SISU;Vespertino;45;45;2177
2016;Presencial;CAV;1189922;Saúde Coletiva - CAV;SISU;Noturno;30;30;1863
2016;Presencial;CAV;5000731;Educação Física - Bacharelado - CAV;SISU;Matutino;35;35;1667
2016;Presencial;CB;13597;Biomedicina;SISU;Integral;60;60;3334
2016;Presencial;CB;20889;Ciências Biológicas - Licenciatura;SISU;Noturno;50;50;2113
2016;Presencial;CB;44992;Ciências Biológicas - Bacharelado;SISU;Integral;50;50;1102
2016;Presencial;CB;58852;Ciências Biológicas - Ciências Ambientais;SISU;Integral;40;40;949
2016;Presencial;CCEN;13589;Física - Bacharelado;SISU;Integral;30;0;116
2016;Presencial;CCEN;13591;Química - Bacharelado;SISU;Integral;0;20;217
2016;Presencial;CCEN;13592;Matemática - Bacharelado;SISU;Integral;30;0;269
2016;Presencial;CCEN;13594;Estatística;SISU;Integral;30;0;493
2016;Presencial;CCEN;13617;Física - Licenciatura;SISU;Noturno;30;0;102
2016;Presencial;CCEN;13618;Química - Licenciatura;SISU;Noturno;30;0;333
2016;Presencial;CCEN;13619;Matemática - Licenciatura;SISU;Noturno;40;0;623
2016;Presencial;CCJ;13576;Direito;SISU;Matutino;50;50;2253
2016;Presencial;CCJ;13576;Direito;SISU;Noturno;50;100;4654
2016;Presencial;CCM;13601;Medicina;SISU;Integral;70;70;3409
2016;Presencial;CCS;13598;Educação Física - Licenciatura;SISU;Integral;60;60;4313
2016;Presencial;CCS;13599;Enfermagem;SISU;Integral;40;40;5023
